Row Labels,Sum of CRIM,Sum of ZN,Sum of INDUS,Sum of CHAS,Sum of NOX,Sum of AGE,Sum of DIS,Sum of RAD,Sum of TAX
5.456,0.80271,0,8.14,0,0.538,36.6,3.7965,4,307
5.631,0.21124,12.5,7.87,0,0.524,100,6.0821,5,311
5.727,0.7258,0,8.14,0,0.538,69.5,3.7965,4,307
5.834,0.62739,0,8.14,0,0.538,56.5,4.4986,4,307
5.889,0.09378,12.5,7.87,0,0.524,39,5.4509,5,311
5.935,1.05393,0,8.14,0,0.538,29.3,4.4986,4,307
5.949,0.62976,0,8.14,0,0.538,61.8,4.7075,4,307
5.99,0.7842,0,8.14,0,0.538,81.7,4.2579,4,307
6.004,0.17004,12.5,7.87,0,0.524,85.9,6.5921,5,311
6.009,0.11747,12.5,7.87,0,0.524,82.9,6.2267,5,311
6.012,0.08829,12.5,7.87,0,0.524,66.6,5.5605,5,311
6.096,0.63796,0,8.14,0,0.538,84.5,4.4619,4,307
6.172,0.14455,12.5,7.87,0,0.524,96.1,5.9505,5,311
6.421,0.02731,0,7.07,0,0.469,78.9,4.9671,2,242
6.43,0.02985,0,2.18,0,0.458,58.7,6.0622,3,222
6.575,0.00632,18,2.31,0,0.538,65.2,4.09,1,296
6.998,0.03237,0,2.18,0,0.458,45.8,6.0622,3,222
7.147,0.06905,0,2.18,0,0.458,54.2,6.0622,3,222
7.185,0.02729,0,7.07,0,0.469,61.1,4.9671,2,242
(blank),0.22489,12.5,7.87,0,0.524,94.3,6.3467,5,311
Grand Total,6.5042,105.5,135.06,0,10.284,1348.6,104.4378,77,5772
